feature,roc_auc,pr_auc,delta_roc_auc,delta_pr_auc
term,0.7293524124205776,0.4391123116558468,-0.00022286399318971473,-0.0012790352492784707
sub_grade,0.7301259487590314,0.4413354172861065,0.0005506723452640694,0.0009440703809812101
grade,0.7297567271369003,0.44088603473206667,0.00018145072313302535,0.0004946878269413979
dti,0.7270405461597879,0.43575838597663175,-0.0025347302539794336,-0.004632960928493524
int_rate,0.729994944236134,0.4409073335919703,0.0004196678223666872,0.0005159866868450491
acc_open_past_24mths,0.7296787522308961,0.44054266343591514,0.00010347581712877307,0.00015131653078986895
home_ownership_RENT,0.730051771650188,0.4407946343174726,0.00047649523642068203,0.0004032874123473529
fico_range_low,0.7302628499211269,0.44152286425679266,0.0006875735073595957,0.0011315173516673882
loan_amnt,0.7297485244995244,0.4407175580314443,0.00017324808575713835,0.0003262111263190315
annual_inc,0.7296971490896738,0.44089066312155134,0.00012187267590646478,0.0004993162164260712
mo_sin_old_rev_tl_op,0.7299613337165403,0.44089140286853734,0.00038605730277296857,0.0005000559634120716
mort_acc,0.7295421940392942,0.4405812698997501,-3.3082374473081266e-05,0.00018992299462483597
funded_amnt_inv,0.7297340445698617,0.44031476668305986,0.000158768156094391,-7.658022206541437e-05
emp_length_was_missing,0.7292836743625454,0.4394701923929046,-0.0002916020512219175,-0.0009211545122206899
total_bc_limit,0.7300847607994909,0.4409232390814112,0.0005094843857236242,0.0005318921762859086
avg_cur_bal,0.7301247765751838,0.44121654931534254,0.0005495001614165274,0.0008252024102172739
total_rev_hi_lim,0.729814463251032,0.4411769003943904,0.00023918683726475987,0.0007855534892651228
mths_since_recent_inq,0.7297964969944079,0.4406244030238994,0.0002212205806405576,0.00023305611877411092
home_ownership_MORTGAGE,0.7298295751492153,0.441117186673346,0.00025429873544802195,0.0007258397682207152
total_il_high_credit_limit,0.729858306754072,0.4403656374613871,0.0002830303403047463,-2.5709443738142213e-05
