feature,scope,n_rows,has_missingness_flag,pct_flagged_missing,pct_zero,pct_at_999,n_unique,mean,std,p50
loan_amnt,train,891742,False,,0.0,0.0,1499,14569.560254,8619.210037,12225.0
funded_amnt,train,891742,False,,0.0,0.0,1499,14569.560254,8619.210037,12225.0
funded_amnt_inv,train,891742,False,,0.0,0.0,1517,14563.80427,8616.303481,12225.0
term,train,891742,False,,0.0,0.0,2,41.753942,10.246311,36.0
int_rate,train,891742,False,,0.0,0.0,213,12.933731,4.598559,12.59
installment,train,891742,False,,0.0,0.0,66355,441.240609,258.666481,377.41
grade,train,891742,False,,0.0,0.0,7,2.752751,1.296355,3.0
sub_grade,train,891742,False,,0.0,0.0,35,11.715796,6.441496,11.0
emp_length,train,891742,True,5.8862,7.8841,0.0,11,6.012165,3.588411,6.0
annual_inc,train,891742,False,,0.0039,0.0,47815,76664.061582,71486.943728,65000.0
dti,train,891742,False,,0.0294,0.0008,5262,18.642239,9.29935,18.07
delinq_2yrs,train,891742,False,,79.3358,0.0,28,0.34673,0.923904,0.0
fico_range_low,train,891742,False,,0.0,0.0,38,693.841229,30.589466,685.0
fico_range_high,train,891742,False,,0.0,0.0,38,697.841357,30.590099,689.0
inq_last_6mths,train,891742,False,,58.3036,0.0,7,0.633941,0.927576,0.0
mths_since_last_delinq,train,891742,True,48.2153,0.1146,48.2153,154,499.260008,482.468312,76.0
mths_since_last_record,train,891742,True,81.2685,0.0009,81.2685,123,824.608705,363.417198,999.0
open_acc,train,891742,False,,0.0004,0.0,81,11.821074,5.569517,11.0
pub_rec,train,891742,False,,81.2685,0.0,36,0.244224,0.652706,0.0
revol_bal,train,891742,False,,0.3249,0.0034,75134,16645.042743,23198.250584,11239.0
revol_util,train,891742,False,,0.3526,0.0,1267,52.470353,23.94765,52.6
total_acc,train,891742,False,,0.0,0.0,139,25.404421,12.099679,24.0
collections_12_mths_ex_med,train,891742,False,,98.2013,0.0,15,0.019739,0.158259,0.0
mths_since_last_major_derog,train,891742,True,70.7585,0.0228,70.7585,168,719.65502,434.693787,999.0
acc_now_delinq,train,891742,False,,99.4256,0.0,8,0.006153,0.085279,0.0
