feature,mean_abs_shap,rank
term,0.18937306,1
sub_grade,0.18281484,2
grade,0.15663205,3
dti,0.13494946,4
int_rate,0.09148871,5
acc_open_past_24mths,0.08298217,6
home_ownership_RENT,0.06452696,7
fico_range_low,0.064325,8
loan_amnt,0.06066949,9
annual_inc,0.056510087,10
mo_sin_old_rev_tl_op,0.056148145,11
mort_acc,0.05510395,12
funded_amnt_inv,0.052919723,13
emp_length_was_missing,0.0504323,14
total_bc_limit,0.046520997,15
avg_cur_bal,0.045390766,16
total_rev_hi_lim,0.043933768,17
mths_since_recent_inq,0.040535234,18
home_ownership_MORTGAGE,0.03966826,19
total_il_high_credit_limit,0.03794917,20
percent_bc_gt_75,0.036892585,21
num_rev_tl_bal_gt_0,0.035714973,22
mths_since_recent_bc,0.035455823,23
num_actv_rev_tl,0.03491027,24
installment,0.03232999,25
credit_history_months,0.031972263,26
all_util_was_missing,0.029952029,27
tot_hi_cred_lim,0.029239856,28
open_rv_24m,0.027556917,29
mths_since_last_delinq,0.02564759,30
funded_amnt,0.024950385,31
bc_util,0.024025034,32
il_util,0.022352336,33
revol_bal,0.022292363,34
mo_sin_rcnt_rev_tl_op,0.022261886,35
open_acc_6m_was_missing,0.021924216,36
all_util,0.02123931,37
mths_since_rcnt_il,0.021212593,38
num_actv_bc_tl,0.020910894,39
num_il_tl,0.019964067,40
total_acc,0.0193898,41
pct_tl_nvr_dlq,0.019229265,42
num_rev_accts,0.01907145,43
emp_length,0.018260788,44
num_tl_op_past_12m,0.01797988,45
verification_status_Not Verified,0.01732532,46
bc_open_to_buy,0.017242419,47
max_bal_bc,0.016811514,48
revol_util,0.016640313,49
mo_sin_rcnt_tl,0.01640765,50
fico_range_high,0.016297229,51
inq_last_6mths,0.015595843,52
num_bc_sats,0.014610104,53
mo_sin_old_il_acct,0.014235762,54
delinq_2yrs,0.013370024,55
total_bal_il,0.013204667,56
mths_since_recent_bc_dlq,0.012801755,57
open_act_il_was_missing,0.012794906,58
application_type_Individual,0.012291839,59
addr_state_CO,0.01132956,60
total_cu_tl,0.011220858,61
addr_state_WA,0.0110832285,62
mths_since_last_record,0.01038646,63
addr_state_NY,0.010375172,64
addr_state_OR,0.00933741,65
mths_since_last_major_derog,0.009214688,66
total_bal_ex_mort,0.008970546,67
inq_fi,0.008816707,68
verification_status_Source Verified,0.008393829,69
tot_cur_bal,0.007887765,70
addr_state_GA,0.007808553,71
addr_state_CA,0.007726553,72
num_bc_tl,0.007335229,73
addr_state_SC,0.006380473,74
purpose_debt_consolidation,0.0061648935,75
num_op_rev_tl,0.006004798,76
inq_last_12m,0.0058857715,77
application_type_Joint App,0.005538437,78
open_acc_6m,0.0054636956,79
purpose_small_business,0.0052018934,80
addr_state_IL,0.0050708195,81
open_act_il,0.005025652,82
open_il_12m,0.0046292422,83
addr_state_NJ,0.0045035076,84
mths_since_recent_revol_delinq,0.0040160012,85
purpose_credit_card,0.00400414,86
num_sats,0.0038929307,87
open_il_24m,0.0038738416,88
open_il_12m_was_missing,0.00387276,89
num_accts_ever_120_pd,0.0035987515,90
purpose_medical,0.0035252422,91
addr_state_LA,0.0035220264,92
addr_state_KS,0.003377093,93
