feature,auc_train,auc_test,auc_2014,auc_2015,auc_2016,point_biserial_test,n_unique_test,is_constant_test
loan_amnt,0.547377,0.565286,0.547216,0.552427,0.543505,0.087291,1507,False
funded_amnt,0.547377,0.565286,0.547216,0.552427,0.543505,0.087291,1507,False
funded_amnt_inv,0.547224,0.565306,0.547219,0.552117,0.543379,0.087321,1519,False
term,0.603054,0.566478,0.614371,0.623931,0.576283,0.131113,2,False
int_rate,0.694395,0.680801,0.685536,0.709846,0.691029,0.260254,67,False
installment,0.536556,0.570712,0.529987,0.534437,0.543641,0.095163,21941,False
grade,0.687663,0.671694,0.679996,0.700792,0.681608,0.259085,7,False
sub_grade,0.69666,0.68112,0.688363,0.710054,0.691073,0.264858,35,False
emp_length,0.490324,0.476325,0.493784,0.492137,0.486631,-0.035238,11,False
annual_inc,0.450336,0.455268,0.445822,0.453231,0.446634,-0.043561,12919,False
dti,0.579374,0.572788,0.57231,0.583341,0.578006,0.054673,5930,False
delinq_2yrs,0.507768,0.514026,0.505889,0.507312,0.509456,0.025,24,False
fico_range_low,0.410425,0.401193,0.420035,0.408427,0.403304,-0.145518,38,False
fico_range_high,0.410425,0.401193,0.420035,0.408427,0.403304,-0.145515,38,False
inq_last_6mths,0.544581,0.541832,0.535737,0.552711,0.545302,0.072822,6,False
mths_since_last_delinq,0.488919,0.483471,0.491318,0.489514,0.487476,-0.019073,131,False
mths_since_last_record,0.485685,0.491961,0.494436,0.484493,0.482876,-0.017428,123,False
open_acc,0.523555,0.505921,0.520827,0.528496,0.519153,0.008471,70,False
pub_rec,0.515013,0.508362,0.5064,0.516333,0.517607,0.017592,20,False
revol_bal,0.488792,0.519954,0.492359,0.488245,0.490022,-0.006654,42624,False
revol_util,0.538675,0.574103,0.541655,0.539059,0.546148,0.106685,1097,False
total_acc,0.495282,0.468749,0.493147,0.505878,0.487879,-0.04293,120,False
collections_12_mths_ex_med,0.502426,0.503486,0.501194,0.502452,0.502913,0.019719,10,False
mths_since_last_major_derog,0.486029,0.4829,0.491472,0.485582,0.483079,-0.029045,146,False
acc_now_delinq,0.500229,0.500245,0.500191,0.500314,0.500097,0.003558,4,False
tot_coll_amt,0.508757,0.506746,0.505442,0.50797,0.510323,0.000474,5169,False
tot_cur_bal,0.455803,0.443076,0.459844,0.460679,0.446252,-0.083814,126818,False
open_acc_6m,0.520131,0.524501,,0.504389,0.547069,0.04058,15,False
open_act_il,0.509113,0.501875,,0.502518,0.514893,0.001673,41,False
open_il_12m,0.513898,0.506277,,0.504436,0.542981,0.010925,12,False
open_il_24m,0.524834,0.502512,,0.504158,0.543566,0.008029,22,False
mths_since_rcnt_il,0.470048,0.495582,,0.499704,0.455646,0.02526,288,False
total_bal_il,0.506338,0.496448,,0.502228,0.511606,-0.008117,74552,False
il_util,0.521128,0.521521,,0.503293,0.5424,0.027607,211,False
open_rv_12m,0.524881,0.533138,,0.503761,0.549296,0.050829,27,False
open_rv_24m,0.535854,0.546691,,0.505389,0.567171,0.067491,40,False
max_bal_bc,0.481945,0.492201,,0.49765,0.463204,-0.017218,20819,False
all_util,0.530381,0.563782,,0.505225,0.560651,0.09068,159,False
total_rev_hi_lim,0.456543,0.456529,0.462333,0.456503,0.449101,-0.061989,5867,False
inq_fi,0.522649,0.51343,,0.502012,0.531831,0.02723,26,False
total_cu_tl,0.509692,0.483759,,0.500197,0.493747,-0.020334,48,False
inq_last_12m,0.521534,0.530111,,0.505011,0.549904,0.040861,37,False
acc_open_past_24mths,0.58094,0.53368,0.568506,0.591036,0.57238,0.049795,43,False
avg_cur_bal,0.443484,0.436984,0.449649,0.446693,0.434707,-0.085311,44661,False
bc_open_to_buy,0.436062,0.42296,0.436724,0.432652,0.43014,-0.098821,41855,False
bc_util,0.545925,0.574215,0.549876,0.547996,0.550697,0.108023,1167,False
chargeoff_within_12_mths,0.500311,0.500502,0.49972,0.5005,0.500555,0.003696,8,False
delinq_amnt,0.500325,0.500318,0.500107,0.50039,0.500277,0.005577,455,False
mo_sin_old_il_acct,0.480698,0.474972,0.483255,0.481171,0.479674,-0.032761,454,False
mo_sin_old_rev_tl_op,0.455871,0.461672,0.460506,0.45505,0.455546,-0.043677,677,False
mo_sin_rcnt_rev_tl_op,0.454228,0.467816,0.461365,0.449195,0.456088,-0.036391,217,False
mo_sin_rcnt_tl,0.447127,0.474005,0.453734,0.440334,0.452539,-0.022418,147,False
mort_acc,0.445831,0.426127,0.455438,0.45179,0.434484,-0.104449,23,False
mths_since_recent_bc,0.455586,0.471144,0.463486,0.45216,0.457043,-0.007438,378,False
mths_since_recent_bc_dlq,0.493278,0.492617,0.49331,0.492069,0.494153,-0.012229,137,False
mths_since_recent_inq,0.447466,0.456546,0.456987,0.440023,0.451232,-0.028102,27,False
mths_since_recent_revol_delinq,0.494394,0.490039,0.495059,0.494692,0.493696,-0.013612,140,False
num_accts_ever_120_pd,0.510806,0.505491,0.50972,0.511817,0.509563,0.002766,35,False
num_actv_bc_tl,0.527337,0.542248,0.522889,0.526612,0.532944,0.064062,30,False
num_actv_rev_tl,0.549924,0.558736,0.546197,0.551906,0.553306,0.087079,46,False
num_bc_sats,0.510134,0.513814,0.506912,0.510021,0.512358,0.021266,44,False
num_bc_tl,0.489857,0.484139,0.491489,0.496181,0.488053,-0.023763,59,False
num_il_tl,0.507328,0.475435,0.501131,0.515853,0.500215,-0.023779,93,False
num_op_rev_tl,0.527739,0.515253,0.526586,0.531336,0.525215,0.020326,62,False
num_rev_accts,0.499043,0.486939,0.499542,0.506714,0.495147,-0.019089,91,False
num_rev_tl_bal_gt_0,0.549461,0.555051,0.546582,0.551677,0.552161,0.081383,40,False
num_sats,0.523592,0.505297,0.521259,0.528545,0.518911,0.007432,68,False
num_tl_120dpd_2m,0.500001,0.500079,0.499881,0.500084,0.499977,0.002568,4,False
num_tl_30dpd,0.500121,0.500136,0.500257,0.500114,0.500003,0.002219,4,False
