feature,roc_auc,pr_auc,delta_roc_auc,delta_pr_auc
recoveries,0.7295752764137673,0.44039134690512527,-0.14344334438011164,-0.3613167680781979
term,0.8726878679984098,0.8010467674849601,-0.00033075279546912473,-0.0006613474983631074
sub_grade,0.8730207668372916,0.8015431764919814,2.1460434126430172e-06,-0.00016493849134180394
annual_inc,0.8728162514220549,0.8012909217407063,-0.00020236937182405157,-0.00041719324261690893
dti,0.8720959110338237,0.8006684025874355,-0.0009227097600552625,-0.0010397123958876264
home_ownership_RENT,0.8731670573441106,0.8018282492190799,0.00014843655023166757,0.00012013423575674143
emp_length_was_missing,0.8725049751309633,0.8012831094958248,-0.0005136456629156738,-0.0004250054874983533
grade,0.873033818262955,0.8016268811820793,1.5197469076078107e-05,-8.123380124391844e-05
all_util_was_missing,0.8732206665271658,0.8019165742697623,0.0002020457332868597,0.00020845928643908884
mo_sin_old_rev_tl_op,0.872923781749023,0.8016071606005195,-9.48390448559655e-05,-0.00010095438280366409
acc_open_past_24mths,0.8728742583798381,0.8016023472956413,-0.00014436241404081063,-0.00010576768768189027
loan_amnt,0.8730382477342414,0.8016847011129287,1.9626940362504897e-05,-2.3413870394506375e-05
initial_list_status_f,0.8731432232990254,0.8017942872488655,0.00012460250514645388,8.617226554230584e-05
open_acc_6m_was_missing,0.873166995619235,0.8019674221482478,0.00014837482535612345,0.0002593071649246159
credit_history_months,0.8729665086107901,0.8017297419397345,-5.2112183088870445e-05,2.1626956411280318e-05
total_bc_limit,0.8731772319391607,0.801803762115141,0.0001586111452818173,9.564713181786644e-05
num_actv_rev_tl,0.8729321943883607,0.8015325992148173,-8.642640551825842e-05,-0.0001755157685058295
int_rate,0.8731008028046063,0.8012731601513643,8.218201072740516e-05,-0.0004349548319588781
avg_cur_bal,0.8730647438976538,0.8017838114551601,4.612310377483109e-05,7.569647183691686e-05
funded_amnt_inv,0.8730293531698408,0.801663885165453,1.073237596183052e-05,-4.422981787022273e-05
