feature,rank,neighbour,pearson_r,abs_pearson_r
loan_amnt,1,funded_amnt,1.0,1.0
loan_amnt,2,funded_amnt_inv,0.999995,0.999995
loan_amnt,3,installment,0.952976,0.952976
loan_amnt,4,term,0.38908,0.38908
loan_amnt,5,max_bal_bc,0.358158,0.358158
loan_amnt,6,total_bc_limit,0.339644,0.339644
loan_amnt,7,tot_hi_cred_lim,0.32779,0.32779
loan_amnt,8,total_rev_hi_lim,0.318772,0.318772
loan_amnt,9,tot_cur_bal,0.304385,0.304385
loan_amnt,10,revol_bal,0.294363,0.294363
loan_amnt,11,annual_inc,0.290375,0.290375
loan_amnt,12,total_bal_ex_mort,0.266748,0.266748
loan_amnt,13,recoveries,0.222209,0.222209
loan_amnt,14,avg_cur_bal,0.220425,0.220425
loan_amnt,15,total_il_high_credit_limit,0.219986,0.219986
funded_amnt,1,loan_amnt,1.0,1.0
funded_amnt,2,funded_amnt_inv,0.999995,0.999995
funded_amnt,3,installment,0.952976,0.952976
funded_amnt,4,term,0.38908,0.38908
funded_amnt,5,max_bal_bc,0.358158,0.358158
funded_amnt,6,total_bc_limit,0.339644,0.339644
funded_amnt,7,tot_hi_cred_lim,0.32779,0.32779
funded_amnt,8,total_rev_hi_lim,0.318772,0.318772
funded_amnt,9,tot_cur_bal,0.304385,0.304385
funded_amnt,10,revol_bal,0.294363,0.294363
funded_amnt,11,annual_inc,0.290375,0.290375
funded_amnt,12,total_bal_ex_mort,0.266748,0.266748
funded_amnt,13,recoveries,0.222209,0.222209
funded_amnt,14,avg_cur_bal,0.220425,0.220425
funded_amnt,15,total_il_high_credit_limit,0.219986,0.219986
funded_amnt_inv,1,funded_amnt,0.999995,0.999995
funded_amnt_inv,2,loan_amnt,0.999995,0.999995
funded_amnt_inv,3,installment,0.952861,0.952861
funded_amnt_inv,4,term,0.389411,0.389411
funded_amnt_inv,5,max_bal_bc,0.358161,0.358161
funded_amnt_inv,6,total_bc_limit,0.339637,0.339637
funded_amnt_inv,7,tot_hi_cred_lim,0.327797,0.327797
funded_amnt_inv,8,total_rev_hi_lim,0.318762,0.318762
funded_amnt_inv,9,tot_cur_bal,0.304397,0.304397
funded_amnt_inv,10,revol_bal,0.294354,0.294354
funded_amnt_inv,11,annual_inc,0.290367,0.290367
funded_amnt_inv,12,total_bal_ex_mort,0.266739,0.266739
funded_amnt_inv,13,recoveries,0.222275,0.222275
funded_amnt_inv,14,avg_cur_bal,0.220453,0.220453
funded_amnt_inv,15,total_il_high_credit_limit,0.219966,0.219966
term,1,funded_amnt_inv,0.389411,0.389411
term,2,funded_amnt,0.38908,0.38908
term,3,loan_amnt,0.38908,0.38908
term,4,sub_grade,0.36995,0.36995
term,5,int_rate,0.366655,0.366655
term,6,grade,0.362805,0.362805
term,7,initial_list_status_f,-0.257366,0.257366
term,8,initial_list_status_w,0.257366,0.257366
term,9,recoveries,0.171577,0.171577
term,10,installment,0.169163,0.169163
term,11,tot_cur_bal,0.117115,0.117115
term,12,tot_hi_cred_lim,0.115318,0.115318
term,13,total_bal_ex_mort,0.102719,0.102719
term,14,home_ownership_MORTGAGE,0.099626,0.099626
term,15,max_bal_bc,0.099473,0.099473
int_rate,1,sub_grade,0.990697,0.990697
int_rate,2,grade,0.971782,0.971782
int_rate,3,fico_range_low,-0.399762,0.399762
int_rate,4,fico_range_high,-0.399758,0.399758
int_rate,5,term,0.366655,0.366655
int_rate,6,all_util,0.271655,0.271655
int_rate,7,bc_util,0.261663,0.261663
int_rate,8,bc_open_to_buy,-0.259097,0.259097
int_rate,9,revol_util,0.258986,0.258986
int_rate,10,percent_bc_gt_75,0.245475,0.245475
int_rate,11,verification_status_Not Verified,-0.233937,0.233937
int_rate,12,installment,0.227187,0.227187
int_rate,13,verification_status_Verified,0.206609,0.206609
int_rate,14,inq_last_6mths,0.19754,0.19754
int_rate,15,recoveries,0.192498,0.192498
installment,1,funded_amnt,0.952976,0.952976
installment,2,loan_amnt,0.952976,0.952976
installment,3,funded_amnt_inv,0.952861,0.952861
installment,4,max_bal_bc,0.340987,0.340987
installment,5,total_bc_limit,0.303308,0.303308
installment,6,tot_hi_cred_lim,0.285292,0.285292
installment,7,total_rev_hi_lim,0.285153,0.285153
installment,8,revol_bal,0.28356,0.28356
