feature,mean_abs_shap,rank
recoveries,2.2137876,1
term,0.2558708,2
sub_grade,0.14046815,3
annual_inc,0.13464776,4
dti,0.1247072,5
home_ownership_RENT,0.08971133,6
emp_length_was_missing,0.069815055,7
grade,0.06634232,8
all_util_was_missing,0.06426495,9
mo_sin_old_rev_tl_op,0.057077914,10
acc_open_past_24mths,0.05562768,11
loan_amnt,0.05196962,12
initial_list_status_f,0.050200753,13
open_acc_6m_was_missing,0.04712146,14
credit_history_months,0.046710644,15
total_bc_limit,0.041715305,16
num_actv_rev_tl,0.040958893,17
int_rate,0.0384838,18
avg_cur_bal,0.038459383,19
funded_amnt_inv,0.03775907,20
mths_since_recent_inq,0.037067514,21
num_rev_tl_bal_gt_0,0.036289647,22
tot_hi_cred_lim,0.03586103,23
mort_acc,0.034891162,24
total_il_high_credit_limit,0.034279976,25
total_rev_hi_lim,0.03269521,26
fico_range_low,0.030663371,27
mths_since_last_record,0.030213533,28
mths_since_recent_bc,0.029656949,29
open_rv_24m,0.029588984,30
max_bal_bc,0.027597593,31
pct_tl_nvr_dlq,0.025979383,32
total_acc,0.025882235,33
num_actv_bc_tl,0.025107773,34
mths_since_rcnt_il,0.025048012,35
num_bc_sats,0.024741504,36
all_util,0.022011658,37
num_rev_accts,0.021281188,38
il_util,0.021278098,39
initial_list_status_w,0.021265866,40
emp_length,0.02112869,41
installment,0.021037592,42
mo_sin_rcnt_rev_tl_op,0.020798208,43
open_act_il_was_missing,0.020496994,44
addr_state_TX,0.020140061,45
open_il_12m,0.020081758,46
home_ownership_MORTGAGE,0.01948648,47
application_type_Individual,0.01920945,48
bc_open_to_buy,0.018638713,49
num_il_tl,0.018229194,50
revol_bal,0.017418392,51
addr_state_NY,0.01679516,52
mths_since_last_delinq,0.016620286,53
revol_util,0.015870329,54
inq_last_6mths,0.015679693,55
mo_sin_old_il_acct,0.01484012,56
total_bal_il,0.014237256,57
fico_range_high,0.014188919,58
addr_state_NJ,0.012849112,59
funded_amnt,0.012614377,60
bc_util,0.011623376,61
percent_bc_gt_75,0.011585356,62
inq_last_12m,0.011535548,63
total_bal_ex_mort,0.011534229,64
verification_status_Source Verified,0.0114943525,65
mths_since_recent_revol_delinq,0.011470374,66
addr_state_CA,0.011424014,67
mths_since_last_major_derog,0.010558962,68
mo_sin_rcnt_tl,0.010197806,69
tot_cur_bal,0.00965169,70
num_tl_op_past_12m,0.009397935,71
inq_fi,0.009351553,72
addr_state_IL,0.0086815655,73
num_op_rev_tl,0.008572392,74
addr_state_NC,0.008569902,75
